"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Market","LDPE,",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"HDPE","PP","PS","PVC","PET","PUR","Other","Total"
"Sector","LLDPE",NA,NA,NA,NA,NA,NA,NA,NA
"Transportation","0.1%","0.8%","2.6%","0.0%","0.3%","0.0%","1.6%","1.4%","6.7%"
"Packaging","13.5%","9.3%","8.2%","2.3%","0.9%","10.1%","0.2%","0.1%","44.8%"
"Building and","1.1%","3.3%","1.2%","2.2%","8.1%","0.0%","2.4%","0.5%","18.8%"
"Construction",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Electrical","0.5%","0.2%","0.9%","0.6%","0.4%","0.0%","0.4%","1.0%","3.8%"
"/Electronic",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Consumer &","2.9%","1.7%","3.8%","1.8%","0.6%","0.0%","1.0%","0.2%","11.9%"
"Institutional",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Products",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Industrial","0.2%","0.1%","0.2%","0.0%","0.0%","0.0%","0.3%","0.0%","0.8%"
"Machinery",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Other","1.7%","0.9%","4.2%","0.7%","1.4%","0.0%","2.5%","1.7%","13.2%"
"Total","20.0%","16.3%","21.0%","7.6%","11.8%","10.2%","8.2%","4.9%","100.0%"
