"Year","Global Production (Mt)"
2015,381
2014,367
2013,352
2012,338
2011,325
2010,313
2009,288
2008,281
2007,295
2006,280
2005,263
2004,256
2003,241
2002,231
2001,218
2e+03,213
1999,202
1998,188
1997,180
1996,168
1995,156
1994,151
1993,137
1992,132
1991,124
1990,120
1989,114
1988,110
1987,104
1986,96
1985,90
1984,86
1983,80
1982,73
1981,72
1980,70
1979,71
1978,64
1977,59
1976,54
1975,46
1974,52
1973,51
1972,44
1971,38
1970,35
1969,32
1968,27
1967,23
1966,20
1965,17
1964,15
1963,13
1962,11
1961,9
1960,8
1959,7
1958,6
1957,5
1956,5
1955,4
1954,3
1953,3
1952,2
1951,2
1950,2
